PRISM Time Series Data
Location:  Lat: 37.3868   Lon: -80.5021   Elev: 1005m
"Climate variables: ppt,tmean"
Spatial resolution: 4km
Period: 1895-01 - 2023-12
Dataset: AN91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-May-13
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmean (degrees C)
1895-01,136.04,-3.5
1895-02,35.03,-6.4
1895-03,95.15,3.3
1895-04,115.73,8.8
1895-05,83.16,13.2
1895-06,69.07,18.6
1895-07,125.60,18.7
1895-08,71.33,20.3
1895-09,41.30,18.6
1895-10,32.43,7.4
1895-11,58.88,6.1
1895-12,92.66,0.5
1896-01,40.58,-1.7
1896-02,104.74,-0.4
1896-03,118.12,2.2
1896-04,52.70,12.1
1896-05,77.69,17.5
1896-06,130.45,18.0
1896-07,195.96,20.1
1896-08,62.88,19.9
1896-09,169.25,16.6
1896-10,37.79,9.1
1896-11,110.39,7.5
1896-12,47.79,0.0
1897-01,44.86,-3.1
1897-02,171.74,0.9
1897-03,124.17,5.8
1897-04,75.28,9.1
1897-05,117.26,12.3
1897-06,90.37,18.6
1897-07,143.37,20.6
1897-08,70.08,19.0
1897-09,31.23,16.4
1897-10,58.66,11.9
1897-11,71.67,5.5
1897-12,95.99,0.9
1898-01,88.40,0.8
1898-02,24.62,-1.2
1898-03,106.49,6.8
1898-04,73.70,6.7
1898-05,128.18,15.3
1898-06,84.99,18.5
1898-07,153.56,20.7
1898-08,151.57,20.1
1898-09,96.36,17.2
1898-10,143.11,11.2
1898-11,64.31,3.6
1898-12,81.54,-0.8
1899-01,93.64,-0.9
1899-02,150.10,-4.4
1899-03,209.87,3.7
1899-04,65.58,9.0
1899-05,153.60,15.6
1899-06,115.49,19.3
1899-07,85.52,19.9
1899-08,69.30,20.6
1899-09,101.16,15.5
1899-10,51.16,11.3
1899-11,39.85,6.1
1899-12,79.30,-0.7
1900-01,64.35,-0.2
1900-02,116.70,-2.7
1900-03,117.29,2.1
1900-04,68.97,9.2
1900-05,99.06,13.9
1900-06,135.19,18.5
1900-07,103.43,20.7
1900-08,64.36,21.5
1900-09,114.80,18.5
1900-10,86.43,12.9
1900-11,111.32,5.9
1900-12,71.32,0.7
1901-01,74.13,-1.2
1901-02,25.08,-3.6
1901-03,98.86,3.9
1901-04,178.86,5.8
1901-05,191.49,13.4
1901-06,159.59,18.4
1901-07,108.90,21.6
1901-08,251.27,18.9
1901-09,101.31,14.7
1901-10,25.15,9.8
1901-11,40.86,1.2
1901-12,204.14,-2.3
1902-01,90.72,-2.8
1902-02,114.01,-4.7
1902-03,114.94,3.9
1902-04,58.88,7.5
1902-05,84.89,16.3
1902-06,121.69,17.8
